xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.21      1.56  posterior_mean
18                        fixstim_AR1    0.02      0.43  posterior_mean
19                        fixstim_AR2    0.02      0.14  posterior_mean
20                fixstim_sigma_sub_A    0.24      1.13  posterior_mean
21                fixstim_sigma_sub_B    0.25      1.13  posterior_mean
22                  fixstim_cond_diff    0.42      1.05  posterior_mean
23                      fixstim_sigma    0.02      1.00  posterior_mean
24                          fixstim_b    0.12      1.09    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.04      0.27    posterior_SD
28                fixstim_sigma_sub_B    0.05      0.27    posterior_SD
29                  fixstim_cond_diff    0.06      0.44    posterior_SD
30                      fixstim_sigma    0.00      0.02    posterior_SD
31                         nostim_b_A    0.29      1.00  posterior_mean
32                         nostim_b_B    0.29      2.02  posterior_mean
33                         nostim_AR1    0.02      0.45  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.23      1.07  posterior_mean
36                 nostim_sigma_sub_B    0.24      1.08  posterior_mean
37                   nostim_cond_diff    0.42      1.02  posterior_mean
38                       nostim_sigma    0.02      1.00  posterior_mean
39                         nostim_b_A    0.06      0.30    posterior_SD
40                         nostim_b_B    0.06      0.31    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.04      0.26    posterior_SD
44                 nostim_sigma_sub_B    0.04      0.27    posterior_SD
45                   nostim_cond_diff    0.06      0.42    posterior_SD
46                       nostim_sigma    0.00      0.02    posterior_SD
47                       randstim_b_A    0.30      1.01  posterior_mean
48                       randstim_b_B    0.30      2.04  posterior_mean
49                       randstim_AR1    0.02      0.44  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.01      0.00  posterior_mean
52                    randstim_stim_B    0.00      0.00  posterior_mean
53               randstim_sigma_sub_A    0.23      1.09  posterior_mean
54               randstim_sigma_sub_B    0.25      1.09  posterior_mean
55              randstim_sigma_stim_A    0.12      0.36  posterior_mean
56              randstim_sigma_stim_B    0.11      0.35  posterior_mean
57                 randstim_cond_diff    0.42      1.03  posterior_mean
58                     randstim_sigma    0.02      1.00  posterior_mean
59                       randstim_b_A    0.06      0.32    posterior_SD
60                       randstim_b_B    0.06      0.34    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.11      0.37    posterior_SD
64                    randstim_stim_B    0.10      0.36    posterior_SD
65               randstim_sigma_sub_A    0.04      0.27    posterior_SD
66               randstim_sigma_sub_B    0.04      0.27    posterior_SD
67              randstim_sigma_stim_A    0.04      0.19    posterior_SD
68              randstim_sigma_stim_B    0.04      0.19    posterior_SD
69                 randstim_cond_diff    0.06      0.45    posterior_SD
70                     randstim_sigma    0.00      0.02    posterior_SD
71          b_nipymc_fixstim_stimulus    0.07      0.43  posterior_mean
72                              AR(1)    0.02      0.44  posterior_mean
73                              AR(2)    0.02      0.15  posterior_mean
